feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,session_id,label
0.5884310716290682,0.5153965601103608,0.7778302824758805,0.9343872772235025,0.8140807995015567,0.5395781629387374,0.7645680942722257,0.9052142098220934,0.9378446114401536,0.7865223343074084,L_0,1.0
0.9854447213054196,0.6047776228469504,0.9222839919612992,0.7423648393174561,0.930386122051568,0.6365437212979159,0.984141329488418,0.5924756627089542,0.9327004768096404,0.6672332402725101,L_1,1.0
0.7320844024564838,0.5753850383387527,0.6542215248649166,0.5599291048023333,0.8659309017406025,0.92248007207799,0.6796537403182425,0.6142716318859769,0.8004305576507087,0.8026914694555138,L_2,1.0
0.782527549401705,0.7193828948237366,0.8294317642708493,0.73578336308796,0.9785082208492328,0.7800885122015087,0.8940018764374955,0.9554493046944385,0.7761332719530656,0.8109911875433862,L_3,1.0
0.8955284531303014,0.6238866942989846,0.5361903858325361,0.7317599043629319,0.9891846917883124,0.6431511322791967,0.7991381237991213,0.7646093918327856,0.8678997703308449,0.9628790639951684,L_4,1.0
0.7578505990226179,0.6607788522034355,0.59535537864676,0.8819580747526616,0.5900274517532977,0.6448386479207646,0.6696075744102121,0.7092471543415886,0.705990062721342,0.6379647949270836,L_5,1.0
0.9743622245823444,0.91981371326014,0.91610468922106,0.9774486025573544,0.9667768017234564,0.9163492943355926,0.9318560519918392,0.7013670537944632,0.541654329842834,0.880226674715415,L_6,1.0
0.9450734583661256,0.7483386046810978,0.9750098551530146,0.7280483022922719,0.6069442924996897,0.8224950963710215,0.8033050613184342,0.5876984279114219,0.5389723520808576,0.7892807618131609,L_7,1.0
0.7163668522620162,0.9013581602834588,0.8124136213287045,0.6162233578279549,0.6041762335076264,0.5869122429273685,0.8985011905382552,0.8585192323903816,0.8786865415326316,0.8239558956609243,L_8,1.0
0.7297153100023339,0.9551176219801768,0.9310653077618471,0.5333971943554798,0.692334822307727,0.933886485184476,0.6471186363683736,0.5504069622305772,0.552431755001691,0.5452371833119194,L_9,1.0
0.721921279509838,0.6470525051059497,0.8225478532949693,0.8202416246932671,0.6549843935423016,0.5023865692653716,0.71093458172626,0.8303961875707306,0.8698973379193653,0.9872837714672168,L_10,1.0
0.5196220397758861,0.7743498398450321,0.74327881722479,0.6481307474477849,0.9293027069051126,0.7638084671711377,0.7782788638995564,0.951029458116762,0.5194916665437574,0.5243777301507204,L_11,1.0
0.766954968858331,0.7500859384350833,0.9490212603910544,0.7455184350884647,0.8797209375898782,0.8760545663335347,0.9048980365283522,0.7795761574388905,0.560755796394677,0.7591141787004383,L_12,1.0
0.6627508970016863,0.7592090913583136,0.9947987760355176,0.5036611678979563,0.6731274432135761,0.8958748667521372,0.6645791528574205,0.9709513027716736,0.9244320599142034,0.5088461309597516,L_13,1.0
0.5393389916937175,0.7257848423883676,0.7035972650809352,0.6048875430515039,0.6214516971019777,0.5436530900938764,0.6436560459494869,0.9760902946792576,0.5886510242785115,0.6887343887380132,L_14,1.0
0.7341786614928598,0.9182368608419056,0.5293298653093137,0.8963132472005342,0.6799067782871435,0.6277167627726394,0.6133906720291903,0.5822573844134211,0.7854449052949719,0.9389331083613351,L_15,1.0
0.9842322213303004,0.935126787822098,0.8000357594707284,0.8535006891046741,0.65980767296017,0.9746584487963594,0.7728216655303308,0.8213955657448049,0.5001078903130846,0.9733685463079468,L_16,1.0
0.6507633569156378,0.8614945839171626,0.7869577587713786,0.7701771077507468,0.7238682137985947,0.6069730239330265,0.7026829213953953,0.8829075097030896,0.635726166656627,0.6319343732442633,L_17,1.0
0.9930092489996576,0.9396710643057986,0.592535007871603,0.90540304830532,0.7544128090551918,0.7566869664616541,0.5124332892169545,0.655321822063639,0.6277943982402032,0.5396055106469704,L_18,1.0
0.7964099824286528,0.695246585363248,0.9975127287586604,0.8210197712793001,0.6576544323561099,0.9983282672540308,0.6098078190342751,0.5052585879875655,0.6564087146897193,0.5328304099992837,L_19,1.0
0.8421965319656152,0.5375120866668688,0.713552908860841,0.6186932483644191,0.7544245786316381,0.9211492932950474,0.7455409695529183,0.5734798364304188,0.7911919287750195,0.6166902455900227,L_20,1.0
0.6300363172264608,0.5131483233994627,0.9235040760951008,0.5985872792804062,0.5002074449145099,0.6447407380398179,0.7677456768362148,0.8586204320608679,0.8704277953677816,0.6300307863269781,L_21,1.0
0.7014974625539848,0.91084812291931,0.6792379553911136,0.8007458556995195,0.8677395768326963,0.8588182391574262,0.782318522397981,0.6196253263880767,0.6366079563626718,0.6679563518915819,L_22,1.0
0.9265129719941708,0.5618960318887898,0.7584208636747696,0.9596202076984344,0.6257831353824744,0.6660903156533631,0.5116245027679803,0.9256998375433028,0.8460428485691032,0.8780037047136939,L_23,1.0
0.8500630301880276,0.9997305243623807,0.8724145728242402,0.8120296981780619,0.5413040210959278,0.585271132966443,0.8722490362746966,0.7369164878611827,0.7139382888404064,0.6281321205204161,L_24,1.0
0.7665905499694274,0.5684746896150237,0.7321584922493583,0.5040142095111729,0.8372437278146849,0.9737440339079292,0.5047252081178795,0.7976678745739134,0.9735898119104744,0.935534202479562,L_25,1.0
